,year,parent_entity,parent_type,commodity,production_value,production_unit,total_emissions_MtCO2e,emission_intensity
0,1962,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,0.9125,Million bbl/yr,0.3638848308984855,0.3987778968750526
1,1962,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1.84325,Bcf/yr,0.1343552120344684,0.0728903903618437
2,1963,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1.825,Million bbl/yr,0.727769661796971,0.3987778968750526
3,1963,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,4.4238,Bcf/yr,0.3224525088827243,0.07289039036184373
4,1964,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,7.300000000000002,Million bbl/yr,2.911078647187884,0.3987778968750525
5,1964,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,17.326549999999997,Bcf/yr,1.2629389931240036,0.07289039036184375
6,1965,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,10.95,Million bbl/yr,4.366617970781825,0.39877789687505255
7,1965,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,25.0682,Bcf/yr,1.8272308836687716,0.07289039036184375
8,1966,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,13.505,Million bbl/yr,5.385495497297585,0.39877789687505255
9,1966,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,29.86065,Bcf/yr,2.1765544349583896,0.07289039036184375
10,1967,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,14.6,Million bbl/yr,5.822157294375768,0.3987778968750526
11,1967,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,29.86065,Bcf/yr,2.1765544349583896,0.07289039036184375
12,1968,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,18.25,Million bbl/yr,7.277696617969709,0.39877789687505255
13,1968,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,39.0769,Bcf/yr,2.848330495130732,0.07289039036184375
14,1969,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,22.265,Million bbl/yr,8.878789873923047,0.3987778968750526
15,1969,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,47.1872,Bcf/yr,3.4394934280823937,0.07289039036184376
16,1970,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,25.7325,Million bbl/yr,10.261552231337292,0.3987778968750526
17,1970,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,53.8229,Bcf/yr,3.923172191406481,0.07289039036184378
18,1971,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,34.309999999999995,Million bbl/yr,13.682069641783054,0.3987778968750526
19,1971,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,72.9927,Bcf/yr,5.320466396564951,0.07289039036184373
20,1972,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,37.96,Million bbl/yr,15.137608965376996,0.3987778968750526
21,1972,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,79.6284,Bcf/yr,5.804145159889039,0.07289039036184375
22,1973,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,117.7125,Million bbl/yr,46.94114318590463,0.39877789687505255
23,1973,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,97.3236,Bcf/yr,7.0939551954199365,0.07289039036184375
24,1974,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,302.1105,Million bbl/yr,120.47498981387058,0.3987778968750526
25,1974,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,97.3236,Bcf/yr,7.0939551954199365,0.07289039036184375
26,1975,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,300.6213,Million bbl/yr,119.88112976984426,0.3987778968750526
27,1975,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,85.89545,Bcf/yr,6.260952880806233,0.07289039036184376
28,1976,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,347.3997,Million bbl/yr,138.53532174102418,0.3987778968750525
29,1976,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,97.76597999999998,Bcf/yr,7.126200446308207,0.07289039036184375
30,1977,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,361.7223,Million bbl/yr,144.2468580468068,0.3987778968750525
31,1977,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,145.124,Bcf/yr,10.578145010872213,0.07289039036184375
32,1978,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,316.73969999999997,Million bbl/yr,126.3087914228351,0.39877789687505266
33,1978,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,190.968,Bcf/yr,13.91973206662058,0.07289039036184378
34,1979,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,322.9155,Million bbl/yr,128.77156395835604,0.39877789687505255
35,1979,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,202.04939999999996,Bcf/yr,14.72745963837631,0.07289039036184375
36,1980,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,294.18269999999995,Million bbl/yr,117.31355840302452,0.3987778968750526
37,1980,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,254.2225,Bcf/yr,18.530377263763825,0.07289039036184376
38,1981,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,248.127,Million bbl/yr,98.94756321791617,0.39877789687505255
39,1981,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,312.73199999999997,Bcf/yr,22.79515755864012,0.07289039036184376
40,1982,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,199.728,Million bbl/yr,79.6471117870605,0.39877789687505255
41,1982,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,329.29935,Bcf/yr,24.002758167401407,0.07289039036184373
42,1983,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,185.712,Million bbl/yr,74.05784078445976,0.39877789687505255
43,1983,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,310.95079999999996,Bcf/yr,22.6653251953276,0.07289039036184375
44,1984,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,179.58,Million bbl/yr,71.61253472082194,0.39877789687505255
45,1984,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,355.2764,Bcf/yr,25.896235482350548,0.07289039036184375
46,1985,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,173.886,Million bbl/yr,69.34189337601539,0.3987778968750526
47,1985,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,385.586,Bcf/yr,28.10551405806189,0.07289039036184376
48,1986,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,284.643,Million bbl/yr,113.50933690020555,0.3987778968750525
49,1986,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,397.3098,Bcf/yr,28.960066416586063,0.07289039036184373
50,1987,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,395.4,Million bbl/yr,157.67678042439582,0.39877789687505266
51,1987,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,408.6978,Bcf/yr,29.79014218202674,0.07289039036184375
52,1988,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,378.6,Million bbl/yr,150.97731175689492,0.3987778968750526
53,1988,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,419.75,Bcf/yr,30.595741354383915,0.07289039036184375
54,1989,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,536.6,Million bbl/yr,213.9842194631532,0.39877789687505255
55,1989,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,461.506,Bcf/yr,33.639352494333075,0.07289039036184378
56,1990,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,595.7,Million bbl/yr,237.55199316846884,0.3987778968750526
57,1990,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,487.8882,Bcf/yr,35.562361350937294,0.07289039036184375
58,1991,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,722.7,Million bbl/yr,288.19678607160046,0.3987778968750525
59,1991,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,554.65254,Bcf/yr,40.428840155788166,0.07289039036184376
60,1992,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,672.3,Million bbl/yr,268.09838006909786,0.3987778968750526
61,1992,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,586.6791,Bcf/yr,42.76326861613516,0.07289039036184375
62,1993,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,654.1,Million bbl/yr,260.8406223459719,0.39877789687505255
63,1993,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,599.17451,Bcf/yr,43.67406392876645,0.07289039036184375
64,1994,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,678.2,Million bbl/yr,270.4511696606607,0.3987778968750526
65,1994,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,696.5514,Bcf/yr,50.77190345308877,0.07289039036184375
66,1995,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,683.6,Million bbl/yr,272.604570303786,0.3987778968750526
67,1995,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,621.3687,Bcf/yr,45.29180710163139,0.07289039036184376
68,1996,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,673.8,Million bbl/yr,268.6965469144104,0.3987778968750526
69,1996,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,666.9343695,Bcf/yr,48.613106538585136,0.07289039036184375
70,1997,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,708.1,Million bbl/yr,282.37462877722476,0.3987778968750526
71,1997,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,712.6814205,Bcf/yr,51.94762694387831,0.07289039036184375
72,1998,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,748.3,Million bbl/yr,298.40550023160193,0.3987778968750527
73,1998,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,861.67363975,Bcf/yr,62.807727965888226,0.07289039036184375
74,1999,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,673.4,Million bbl/yr,268.53703575566044,0.39877789687505266
75,1999,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1023.4287,Bcf/yr,74.59811745051427,0.07289039036184373
76,2000,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,695.4,Million bbl/yr,277.31014948691154,0.39877789687505255
77,2000,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1031.83367,Bcf/yr,75.21075899479385,0.07289039036184373
78,2001,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,669.8,Million bbl/yr,267.1014353269102,0.39877789687505255
79,2001,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1081.027465,Bcf/yr,78.79651391572439,0.07289039036184376
80,2002,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,616.9,Million bbl/yr,246.00608458221996,0.3987778968750526
81,2002,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1190.53928,Bcf/yr,86.77887286030838,0.07289039036184373
82,2003,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,675.3,Million bbl/yr,269.294713759723,0.39877789687505255
83,2003,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1228.856055,Bcf/yr,89.57179754746531,0.07289039036184373
84,2004,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,713.6,Million bbl/yr,284.5679072100375,0.39877789687505255
85,2004,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1269.6448799999998,Bcf/yr,92.5449109241163,0.07289039036184378
86,2005,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,839.5,Million bbl/yr,334.7740444266066,0.39877789687505255
87,2005,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1279.53308,Bcf/yr,93.26566568209223,0.07289039036184375
88,2006,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,894.3,Million bbl/yr,356.6270731753595,0.39877789687505255
89,2006,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1341.33433,Bcf/yr,97.77038291944214,0.07289039036184375
90,2007,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,846.8,Million bbl/yr,337.6851230737945,0.39877789687505255
91,2007,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1396.21384,Bcf/yr,101.77057182620884,0.07289039036184375
92,2008,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,888.8,Million bbl/yr,354.4337947425467,0.39877789687505255
93,2008,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1382.86477,Bcf/yr,100.79755290294128,0.07289039036184376
94,2009,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,779.3,Million bbl/yr,310.76761503472846,0.3987778968750526
95,2009,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1305.217683,Bcf/yr,95.13782642105123,0.07289039036184375
96,2010,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,789.1,Million bbl/yr,314.675638424104,0.3987778968750526
97,2010,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1394.2362,Bcf/yr,101.62642087461366,0.07289039036184375
98,2011,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,913.191,Million bbl/yr,364.16038642522625,0.39877789687505266
99,2011,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1618.077754,Bcf/yr,117.94231912487538,0.07289039036184375
100,2012,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,948.2,Million bbl/yr,378.1212018169249,0.3987778968750526
101,2012,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1959.136813,Bcf/yr,142.80224707182848,0.07289039036184375
102,2013,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,996.928,Million bbl/yr,397.5528511758524,0.3987778968750526
103,2013,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1934.149146,Bcf/yr,140.98088626996673,0.07289039036184376
104,2014,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1002.179,Million bbl/yr,399.64683391234325,0.39877789687505255
105,2014,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1964.320589,Bcf/yr,143.18009452801684,0.07289039036184375
106,2015,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1068.575,Million bbl/yr,426.12409115325926,0.3987778968750525
107,2015,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1918.427996,Bcf/yr,139.8349655095296,0.07289039036184375
108,2016,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1095.0,Million bbl/yr,436.6617970781826,0.3987778968750526
109,2016,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,1965.869177,Bcf/yr,143.29297171184652,0.07289039036184376
110,2017,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1186.25,Million bbl/yr,473.0502801680311,0.3987778968750526
111,2017,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,2129.691609,Bcf/yr,155.2340527303531,0.07289039036184375
112,2018,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1277.5,Million bbl/yr,509.43876325787966,0.39877789687505255
113,2018,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,2510.134941,Bcf/yr,182.9647157103936,0.07289039036184373
114,2019,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1350.5,Million bbl/yr,538.5495497297585,0.39877789687505255
115,2019,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,2612.589429,Bcf/yr,190.43266333503647,0.07289039036184375
116,2020,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1277.5,Million bbl/yr,509.43876325787966,0.39877789687505255
117,2020,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,2689.430294,Bcf/yr,196.0336239806282,0.07289039036184375
118,2021,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1277.5,Million bbl/yr,509.43876325787966,0.39877789687505255
119,2021,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,2689.430294,Bcf/yr,196.0336239806282,0.07289039036184375
120,2022,Abu Dhabi National Oil Company,State-owned Entity,Oil & NGL,1277.5,Million bbl/yr,509.43876325787966,0.39877789687505255
121,2022,Abu Dhabi National Oil Company,State-owned Entity,Natural Gas,2689.430294,Bcf/yr,196.0336239806282,0.07289039036184375
122,2012,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,4.0,Million tonnes/yr,8.07636177449011,2.0190904436225274
123,2013,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,4.09,Million tonnes/yr,8.258079914416136,2.0190904436225274
124,2014,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,7.92,Million tonnes/yr,15.991196313490418,2.0190904436225274
125,2015,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,10.36,Million tonnes/yr,20.917776995929383,2.0190904436225274
126,2016,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,11.45,Million tonnes/yr,23.11858557947794,2.019090443622528
127,2017,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,11.15,Million tonnes/yr,22.51285844639118,2.0190904436225274
128,2018,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,16.9,Million tonnes/yr,34.12262849722071,2.0190904436225274
129,2019,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,13.261,Million tonnes/yr,26.775158372878337,2.0190904436225274
130,2020,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,15.72,Million tonnes/yr,31.740101773746133,2.0190904436225274
131,2021,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,26.78,Million tonnes/yr,54.071242080211285,2.0190904436225274
132,2022,Adani Enterprises,Investor-owned Company,Sub-Bituminous Coal,34.9,Million tonnes/yr,70.4662564824262,2.0190904436225274
133,1992,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,1.0,Million tonnes/yr,2.019090443622527,2.019090443622527
134,1993,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,1.4,Million tonnes/yr,2.8267266210715385,2.0190904436225274
135,1994,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,2.4,Million tonnes/yr,4.8458170646940655,2.0190904436225274
136,1995,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,5.5,Million tonnes/yr,11.1049974399239,2.0190904436225274
137,1996,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,8.6,Million tonnes/yr,17.364177815153734,2.0190904436225274
138,1997,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,9.4,Million tonnes/yr,18.97945017005176,2.0190904436225274
139,1998,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,10.9,Million tonnes/yr,22.008085835485552,2.019090443622528
140,1999,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,13.6,Million tonnes/yr,27.459630033266368,2.019090443622527
141,2000,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,15.5,Million tonnes/yr,31.295901876149173,2.0190904436225274
142,2001,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,17.7,Million tonnes/yr,35.737900852118734,2.0190904436225274
143,2002,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,20.8,Million tonnes/yr,41.997081227348566,2.019090443622527
144,2003,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,22.5,Million tonnes/yr,45.42953498150687,2.0190904436225274
145,2004,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,24.3,Million tonnes/yr,49.063897780027425,2.019090443622528
146,2005,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,26.7,Million tonnes/yr,53.909714844721485,2.0190904436225274
147,2006,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,34.4,Million tonnes/yr,69.45671126061494,2.0190904436225274
148,2007,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,36.1,Million tonnes/yr,72.88916501477325,2.019090443622528
149,2008,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,38.5,Million tonnes/yr,77.73498207946731,2.019090443622528
150,2009,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,40.6,Million tonnes/yr,81.97507201107463,2.019090443622528
151,2010,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,42.2,Million tonnes/yr,85.20561672087067,2.0190904436225274
152,2011,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,47.7,Million tonnes/yr,96.31061416079456,2.0190904436225274
153,2012,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,47.2,Million tonnes/yr,95.30106893898328,2.019090443622527
154,2013,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,52.3,Million tonnes/yr,105.59843020145816,2.019090443622527
155,2014,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,56.2,Million tonnes/yr,113.47288293158606,2.0190904436225274
156,2015,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,51.5,Million tonnes/yr,103.98315784656018,2.019090443622528
157,2016,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,52.38,Million tonnes/yr,105.759957436948,2.0190904436225274
158,2016,Adaro Energy,Investor-owned Company,Metallurgical Coal,0.22,Million tonnes/yr,0.6526557566863621,2.9666170758471004
159,2017,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,50.9,Million tonnes/yr,102.77170358038664,2.0190904436225274
160,2017,Adaro Energy,Investor-owned Company,Metallurgical Coal,0.9,Million tonnes/yr,2.66995536826239,2.9666170758471
161,2018,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,48.23,Million tonnes/yr,97.38073209591448,2.0190904436225274
162,2018,Adaro Energy,Investor-owned Company,Metallurgical Coal,5.77,Million tonnes/yr,17.11738052763777,2.966617075847101
163,2019,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,52.8073,Million tonnes/yr,106.62271478350787,2.019090443622527
164,2019,Adaro Energy,Investor-owned Company,Metallurgical Coal,5.2227,Million tonnes/yr,15.493751002026652,2.966617075847101
165,2020,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,49.6223,Million tonnes/yr,100.19191172057016,2.019090443622528
166,2020,Adaro Energy,Investor-owned Company,Metallurgical Coal,4.9077,Million tonnes/yr,14.559266623134816,2.9666170758471004
167,2021,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,49.8542,Million tonnes/yr,100.6601387944462,2.0190904436225274
168,2021,Adaro Energy,Investor-owned Company,Metallurgical Coal,2.8458,Million tonnes/yr,8.44239887444568,2.9666170758471004
169,2022,Adaro Energy,Investor-owned Company,Sub-Bituminous Coal,59.51,Million tonnes/yr,120.1560722999766,2.0190904436225274
170,2022,Adaro Energy,Investor-owned Company,Metallurgical Coal,3.37,Million tonnes/yr,9.997499545604729,2.9666170758471004
171,1996,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,8.164746441,Million tonnes/yr,22.160256954928027,2.714139026246832
172,1997,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,9.8884151341,Million tonnes/yr,26.838533423190608,2.7141390262468317
173,1998,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,12.1564002566,Million tonnes/yr,32.99416035511506,2.714139026246832
174,1999,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,12.7914360909,Million tonnes/yr,34.71773589605391,2.714139026246832
175,2000,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,12.4285584713,Million tonnes/yr,33.732835586945995,2.7141390262468317
176,2001,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,14.2429465693,Million tonnes/yr,38.65733713248555,2.7141390262468312
177,2002,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,16.329492882,Million tonnes/yr,44.320513909856054,2.714139026246832
178,2003,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,17.4181257408,Million tonnes/yr,47.27521483717979,2.7141390262468317
179,2004,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,18.485893136473,Million tonnes/yr,50.17328399672982,2.714139026246832
180,2005,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,20.7747437221,Million tonnes/yr,56.385542696427976,2.714139026246832
181,2006,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,21.5004989613,Million tonnes/yr,58.35534331464381,2.714139026246832
182,2007,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,22.0448153907,Million tonnes/yr,59.832693778305675,2.714139026246832
183,2008,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,23.976231521021,Million tonnes/yr,65.07482567353253,2.7141390262468317
184,2009,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,23.440079838062,Million tonnes/yr,63.6196354668256,2.714139026246832
185,2010,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,26.18162025414,Million tonnes/yr,71.06055730213588,2.714139026246832
186,2011,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,27.898938588897,Million tonnes/yr,75.72159801498907,2.714139026246832
187,2012,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,31.570352905199996,Million tonnes/yr,85.68632689238837,2.714139026246832
188,2013,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,35.182799608318,Million tonnes/yr,95.49100946955764,2.714139026246832
189,2014,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,36.96725030270101,Million tonnes/yr,100.3342567395958,2.7141390262468312
190,2015,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,37.356436549722,Million tonnes/yr,101.39056232111405,2.7141390262468326
191,2016,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,31.973147062956,Million tonnes/yr,86.77956623549814,2.7141390262468317
192,2017,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,34.118660988841,Million tonnes/yr,92.60278931309871,2.7141390262468326
193,2018,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,36.529075577034,Million tonnes/yr,99.14498961634798,2.7141390262468317
194,2019,Alliance Resource Partners,Investor-owned Company,Oil & NGL,1.105,Million bbl/yr,0.4406495760469331,0.3987778968750526
195,2019,Alliance Resource Partners,Investor-owned Company,Natural Gas,3.664,Bcf/yr,0.2670703902857955,0.07289039036184375
196,2019,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,36.270525273069005,Million tonnes/yr,98.44324814610864,2.7141390262468326
197,2020,Alliance Resource Partners,Investor-owned Company,Oil & NGL,1.285,Million bbl/yr,0.5124295974844425,0.39877789687505255
198,2020,Alliance Resource Partners,Investor-owned Company,Natural Gas,3.635,Bcf/yr,0.264956568965302,0.07289039036184375
199,2020,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,24.48516738251,Million tonnes/yr,66.45614835705638,2.7141390262468317
200,2021,Alliance Resource Partners,Investor-owned Company,Oil & NGL,1.182,Million bbl/yr,0.4713554741063121,0.39877789687505255
201,2021,Alliance Resource Partners,Investor-owned Company,Natural Gas,3.49,Bcf/yr,0.2543874623628347,0.07289039036184375
202,2021,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,29.217998736143,Million tonnes/yr,79.30171063859635,2.7141390262468326
203,2022,Alliance Resource Partners,Investor-owned Company,Oil & NGL,1.513,Million bbl/yr,0.6033509579719546,0.3987778968750526
204,2022,Alliance Resource Partners,Investor-owned Company,Natural Gas,4.838,Bcf/yr,0.3526437085706001,0.07289039036184376
205,2022,Alliance Resource Partners,Investor-owned Company,Bituminous Coal,32.184523276373,Million tonnes/yr,87.35327066555351,2.714139026246832
206,1981,Alpha Metallurgical Resources,Investor-owned Company,Bituminous Coal,9.268656529232624,Million tonnes/yr,25.156422406867776,2.714139026246832
207,1981,Alpha Metallurgical Resources,Investor-owned Company,Metallurgical Coal,3.440288677135632,Million tonnes/yr,10.206019135433998,2.9666170758471004
208,1982,Alpha Metallurgical Resources,Investor-owned Company,Bituminous Coal,12.262432589018452,Million tonnes/yr,33.28194684657596,2.714139026246832
209,1982,Alpha Metallurgical Resources,Investor-owned Company,Metallurgical Coal,4.551501919683519,Million tonnes/yr,13.502563315683982,2.9666170758471
